Index;P_el;Q_Heiz;Q_WW;Q_gesamt
554;215.053;8643.64;2602.74;11246.38
555;364.763;8418.22;0;8418.22
556;215.186;8192.81;0;8192.81
557;952.591;7967.39;0;7967.39
558;257.017;8150.32;0;8150.32
559;951.925;8333.25;0;8333.25
560;951.758;8516.17;0;8516.17
561;391.215;8699.1;0;8699.1
562;195.271;8727.48;0;8727.48
563;215.321;8755.85;0;8755.85
564;214.971;8784.23;0;8784.23
565;383.259;8812.61;0;8812.61
566;215.005;8512.85;0;8512.85
567;214.888;8213.1;0;8213.1
568;215.005;7913.34;0;7913.34
569;315.703;7613.59;0;7613.59
570;297.108;7563.87;0;7563.87
571;214.888;7514.16;0;7514.16
572;214.888;7464.45;0;7464.45
573;948.879;7414.73;0;7414.73
574;244.014;7361.32;0;7361.32
575;951.546;7307.9;0;7307.9
576;950.046;7254.49;0;7254.49
577;949.152;7201.07;0;7201.07
578;254.947;7282.68;0;7282.68
579;948.318;7364.29;0;7364.29
580;946.485;7445.89;0;7445.89
581;943.985;7527.5;0;7527.5
582;947.152;7571.46;0;7571.46
583;242.725;7615.43;0;7615.43
584;948.318;7659.39;0;7659.39
585;947.818;7703.36;0;7703.36
586;948.318;7749.75;0;7749.75
587;260.047;7796.14;0;7796.14
588;948.318;7842.53;0;7842.53
589;948.379;7888.92;0;7888.92
590;946.546;7941.32;0;7941.32
591;152.069;7993.71;0;7993.71
592;206.629;8046.1;0;8046.1
593;948.879;8098.5;0;8098.5
594;950.212;8085.38;0;8085.38
595;950.546;8072.27;0;8072.27
596;249.455;8059.15;0;8059.15
597;949.546;8046.04;0;8046.04
598;948.879;8079.8;0;8079.8
599;950.046;8113.57;0;8113.57
600;949.712;8147.33;0;8147.33
601;245.184;8181.1;0;8181.1
602;950.877;8180.79;0;8180.79
603;948.377;8180.48;0;8180.48
604;950.877;8180.17;0;8180.17
605;280.928;8179.86;0;8179.86
606;951.591;8225.01;0;8225.01
607;950.258;8270.17;0;8270.17
608;951.091;8315.32;0;8315.32
609;951.737;8360.47;0;8360.47
610;249.775;8381.93;0;8381.93
611;215.107;8403.39;0;8403.39
612;215.107;8424.84;0;8424.84
613;215.134;8446.3;0;8446.3
614;379.178;8449.44;0;8449.44
615;215.001;8452.58;0;8452.58
616;215.017;8455.72;0;8455.72
617;215.107;8458.85;0;8458.85
618;951.071;8441.9;0;8441.9
619;243.835;8424.95;0;8424.95
620;952.071;8408;0;8408
621;951.339;8391.05;0;8391.05
622;952.506;8313.98;0;8313.98
623;255.616;8236.91;0;8236.91
624;954.506;8159.83;0;8159.83
625;1342.78;8082.76;0;8082.76
626;951.606;8076.02;0;8076.02
627;1786.99;8069.28;0;8069.28
628;1522.27;8062.54;0;8062.54
629;951.339;8055.8;0;8055.8
630;949.172;8146.58;0;8146.58
631;395.299;8237.36;0;8237.36
632;2109.8;8328.14;0;8328.14
633;2111.71;8418.92;0;8418.92
634;573.682;8369.18;0;8369.18
635;707.768;8319.45;0;8319.45
636;546.269;8269.71;0;8269.71
637;554.088;8219.98;0;8219.98
638;570.316;8253.35;0;8253.35
639;361.85;8286.72;0;8286.72
640;221.946;8320.1;0;8320.1
641;369.143;8353.47;0;8353.47
642;388.397;8378.06;0;8378.06
643;322.697;8402.65;0;8402.65
644;465.729;8427.24;0;8427.24
645;321.483;8451.82;0;8451.82
646;311.533;8404.77;0;8404.77
647;475.105;8357.72;0;8357.72
648;952.664;8310.67;0;8310.67
649;215.307;8263.62;0;8263.62
650;271.422;8666.96;0;8666.96
651;955.901;9070.3;0;9070.3
652;953.734;9473.64;0;9473.64
653;955.258;9876.98;0;9876.98
654;265.277;9902.57;0;9902.57
655;236.618;9928.16;0;9928.16
656;237.484;9953.74;0;9953.74
657;235.186;9979.33;0;9979.33
658;166.114;9793.35;0;9793.35
659;202.464;9607.38;0;9607.38
660;953.445;9421.41;0;9421.41
661;338.979;9235.43;0;9235.43
662;321.437;9094.17;0;9094.17
663;469.937;8952.91;0;8952.91
664;437.279;8811.64;0;8811.64
665;447.013;8670.38;0;8670.38
666;433.071;8681.62;0;8681.62
667;585.33;8692.85;0;8692.85
668;445.938;8704.09;0;8704.09
669;391.755;8715.33;0;8715.33
670;215.572;8677.45;0;8677.45
671;956.883;8639.58;0;8639.58
672;243.623;8601.71;0;8601.71
673;955.049;8563.83;0;8563.83
674;954.216;8524.18;0;8524.18
675;954.216;8484.53;0;8484.53
676;261.39;8444.88;0;8444.88
677;949.883;8405.22;0;8405.22
678;953.049;8478.98;0;8478.98
679;950.549;8552.73;0;8552.73
680;123.003;8626.48;0;8626.48
681;231.792;8700.23;0;8700.23
682;954.471;8749.37;0;8749.37
683;953.138;8798.51;0;8798.51
684;954.471;8847.64;0;8847.64
685;250.576;8896.78;0;8896.78
686;952.138;8936.8;0;8936.8
687;954.471;8976.82;0;8976.82
688;954.471;9016.85;0;9016.85
689;954.978;9056.87;0;9056.87
690;245.935;9096.25;0;9096.25
691;956.644;9135.63;0;9135.63
692;954.978;9175.01;0;9175.01
693;956.397;9214.39;0;9214.39
694;402.239;9212.12;0;9212.12
695;217.813;9209.85;0;9209.85
696;215.656;9207.58;0;9207.58
697;956.893;9205.3;0;9205.3
698;957.393;9077.53;0;9077.53
699;370.668;8949.75;0;8949.75
700;215.739;8821.97;0;8821.97
701;215.531;8694.19;0;8694.19
702;957.806;8764.71;0;8764.71
703;260.629;8835.22;0;8835.22
704;957.306;8905.74;0;8905.74
705;95.714;8976.25;0;8976.25
706;957.306;9038.24;0;9038.24
707;956.473;9100.22;0;9100.22
708;244.326;9162.2;0;9162.2
709;955.979;9224.18;0;9224.18
710;106.298;9328.5;0;9328.5
711;104.581;9432.81;0;9432.81
712;256.846;9537.12;0;9537.12
713;95.548;9641.43;0;9641.43
714;95.548;9634.58;0;9634.58
715;956.147;9627.73;0;9627.73
716;276.897;9620.89;0;9620.89
717;954.725;9614.04;0;9614.04
718;955.891;9490.67;0;9490.67
719;154.889;9367.31;0;9367.31
720;181.739;9243.95;0;9243.95
721;195.469;9120.58;0;9120.58
722;109.864;9080.18;0;9080.18
723;95.836;9039.77;0;9039.77
724;256.993;8999.36;0;8999.36
725;115.759;8958.96;0;8958.96
726;951.536;9023.25;0;9023.25
727;953.703;9087.55;0;9087.55
728;268.861;9151.85;0;9151.85
729;155.735;9216.15;0;9216.15
730;955.127;9191.77;0;9191.77
731;441.268;9167.38;0;9167.38
732;426.235;9143;0;9143
733;592.068;9118.62;0;9118.62
734;427.435;9133.83;0;9133.83
735;435.613;9149.05;0;9149.05
736;597.859;9164.26;0;9164.26
737;430.598;9179.48;0;9179.48
738;443.939;9239.48;0;9239.48
739;609.922;9299.48;0;9299.48
740;430.33;9359.48;0;9359.48
741;429.656;9419.48;0;9419.48
742;433.656;9629.44;0;9629.44
743;601.487;9839.4;0;9839.4
744;2478.01;10049.4;0;10049.4
745;2732.83;10259.3;0;10259.3
746;639.881;10176.3;0;10176.3
747;256.5;10093.2;0;10093.2
748;346.943;10010.2;0;10010.2
749;215.731;9927.14;0;9927.14
750;215.731;9864.33;0;9864.33
751;215.664;9801.52;0;9801.52
752;515.986;9738.71;0;9738.71
753;353.94;9675.89;0;9675.89
754;361.648;9333.65;0;9333.65
755;215.898;8991.41;0;8991.41
756;377.07;8649.16;0;8649.16
757;215.598;8306.92;0;8306.92
758;215.715;8292.5;0;8292.5
759;215.598;8278.08;0;8278.08
760;957.145;8263.66;0;8263.66
761;243.811;8249.24;0;8249.24
762;956.964;8377.96;0;8377.96
763;956.964;8506.68;0;8506.68
764;956.964;8635.41;0;8635.41
765;262.879;8764.13;0;8764.13
766;958.464;8869.45;0;8869.45
767;95.963;8974.76;0;8974.76
768;95.813;9080.08;0;9080.08
769;106.737;9185.4;0;9185.4
770;253.439;9237.77;0;9237.77
771;106.554;9290.15;0;9290.15
772;107.021;9342.53;0;9342.53
773;952.874;9394.91;0;9394.91
774;251.43;9427.81;0;9427.81
775;953.541;9460.72;0;9460.72
776;957.207;9493.63;0;9493.63
